SW Level,PW Level,Inliers,Homography Det,SVD
25,141,53,0.00336076530245,226484
25,151,72,0.0147968622352,329196
26,23,94,0.00515617822636,860470
26,3,79,2.42341851418,285731
26,60,95,0.013096734679,230617
26,81,55,0.0143128713297,1147334
26,54,78,0.0136086830064,262268
26,55,74,0.399617821946,14953
26,89,66,0.0205968670897,460449
26,85,51,0.00183487539171,1964371
26,102,52,0.00169894417388,664139
26,125,84,0.208838654135,355850
26,132,75,0.205841953645,13811
26,151,79,0.00774450195288,63291
27,17,92,0.320475978794,304180
27,81,71,0.00483578422751,766057
27,62,189,3.04385231122,37099
27,75,65,0.184659594281,227274
27,118,107,0.107406494447,143428
27,145,100,0.00494311925686,2227736
27,158,60,1.29802029929,60756
27,160,140,4.48752863728,109069
28,4,92,0.00470797760587,910513
28,14,201,0.146286963334,35891
28,122,171,1.07623881378,79962
28,126,181,0.0619513420834,167779
28,140,120,0.602116427875,143770
29,1,96,0.00424904396531,86090
29,4,78,0.143869086909,92773
29,27,82,0.0106417232398,500750
29,73,98,0.0582369283566,402751
29,85,123,2.18326144492,296827
29,103,140,0.140875773308,368580
30,14,280,0.00821260675954,32087
30,5,116,0.00375646628532,598162
30,18,98,0.00238448162093,2155871
30,51,129,0.0613176747951,85482
31,18,103,0.00117182340999,3223251
31,79,140,0.00169794487706,674027
31,121,209,1.63690808897,52772
33,146,230,0.00512783932306,301709
34,12,592,0.00765103585037,87096
34,35,444,0.00427054971783,1103119
34,39,335,217.503459757,71586
34,29,221,0.430973499942,186911
34,57,194,0.0654620532895,547422
34,84,387,0.642601499831,753817
34,121,227,0.853102212235,372086
35,36,364,0.00610815607834,347344
35,5,283,0.115859547874,28032
36,76,166,1.39225371527,394524
37,1,226,0.372324039278,77193
37,37,291,0.0516699487058,422696
37,103,257,2.47436538518,62024
37,132,422,0.695238670435,189019
38,41,343,0.102501437469,1072388
38,42,213,0.402209864987,397862
38,60,650,0.147890944699,275099
40,6,75,0.0810144754911,202965
40,27,76,0.00277763080995,1308474
40,41,97,0.0141949105196,1010531
40,104,108,2.03926696605,108995
41,5,73,0.0192412338054,513189
41,69,43,0.0112844920382,198227
41,114,74,0.00639003999071,84230
41,128,82,0.00267057095048,109175
41,148,101,0.00578607406744,25911
42,73,84,0.230125907334,86760
42,92,94,23.6958643102,9855
42,96,60,0.783487415259,138799
42,98,47,0.279725703789,274
42,118,72,0.0569192462978,751332
42,132,102,0.972708104025,188191
43,52,52,0.0700526194173,23121
43,62,57,0.0236462379273,115864
43,53,52,0.570146772523,276276
43,94,64,24.8777212918,14841
43,119,65,0.0667077620032,297544
43,135,60,0.259547815266,92378
43,158,43,0.00289653737711,131495
43,149,66,0.00333478958349,716193
43,139,64,1.47666425644,77456
44,3,85,0.0381712740269,282615
44,47,70,0.00839717920717,265634
44,62,57,0.0414022774325,274155
44,84,84,0.0743874877175,193466
44,100,82,0.0643474139513,82992
44,104,95,0.0029312743647,360406
45,23,77,0.00487369949476,388265
45,13,80,0.218813829736,558588
45,7,87,0.0552835460703,441788
45,26,51,0.0236369635484,376483
45,9,115,0.425090642753,126649
45,20,57,0.458079979082,356573
45,40,96,0.0171495458781,23359
45,33,68,0.00194886341194,7250445
45,67,52,1.69002857998,62375
45,71,51,0.405216672788,206031
45,63,57,0.0134550033841,201123
45,102,79,1.57202196202,30501
45,111,55,0.00533075120579,801247
45,107,150,0.652203646662,73000
45,131,90,0.0679150582952,1003887
46,38,76,0.614273679223,56334
46,19,70,0.141388222709,75682
46,45,48,0.140252181337,137123
46,83,47,0.0845415555637,18175
46,65,80,0.665977627412,71166
46,87,45,0.0542518015075,193375
46,104,85,0.00262796657772,582765
46,98,45,0.893549803644,16784
47,3,74,0.0539383934069,168207
47,25,36,0.0255393982971,549756
47,16,107,1.2174361155,6977
47,17,63,1.35007989756,262765
47,27,52,0.392380935667,168920
47,21,40,0.314532053121,560719
47,70,29,0.0354400488948,414888
47,71,32,1.03563839777,47899
47,89,33,0.260141087991,126427
47,66,45,0.0318504344754,402145
47,87,37,0.0271770340408,578528
47,93,32,1.5327821555,46964
47,126,54,2.33199706521,33154
47,99,56,1.39553422515,19661
47,138,55,0.00402519649867,427201
47,149,61,0.107443241774,208536
48,24,44,6.63909282327,37856
48,11,40,0.950226015638,98489
48,39,36,11.4503734169,140650
48,60,56,0.0999968260115,92555
48,69,34,0.0699419149115,85719
48,61,37,0.00993890777682,926050
48,77,30,0.04758976184,119024
48,107,62,34.9576369198,16455
48,135,38,0.26622475208,87644
48,137,41,5.85058765073,123100
48,152,46,0.594128248182,17767
50,5,167,0.681407495011,208883
50,91,182,0.0184665224493,705572
50,127,239,0.00256941565875,720917
50,121,213,1.55393213004,105507
51,1,278,0.11079537695,21129
52,137,442,0.561763017041,165262
52,141,461,0.0363935429079,370001
53,34,150,0.0520229339093,363357
53,15,448,0.0263801806946,342142
54,89,390,0.0359362314864,108603
54,97,424,69.1597708495,95502
54,128,484,0.135172456105,186741
54,149,504,0.0010913036791,1109150
55,36,376,4.22463610511,72129
55,91,278,0.00278819805135,366365
55,93,402,0.512807501005,156761
57,102,211,4.24453765883,81972
57,136,615,6.88376202336,43652
58,102,189,0.0114955985633,535842
58,98,225,1.02115433333,87169
59,24,189,0.00319845651813,211204
59,57,255,0.00329178005456,908487
59,78,541,0.0251792810077,232987
59,101,351,1.12491285122,307944
59,125,320,2.96458334374,180066
59,117,449,2.19194570054,78827
59,134,720,0.00480891187831,2981535
59,144,241,0.433221906796,5473
60,85,250,0.0250396900856,635396
60,76,224,0.0851748279884,795491
60,123,292,0.54818091053,314145
61,55,228,3.27456986754,223357
62,43,407,2.95506373284,107654
62,138,565,8.67751792666,16125
63,69,348,0.00195057649211,642699
63,89,243,0.0466694381482,322531
63,122,453,0.47665748606,105159
63,138,483,0.337627441883,19540
64,39,444,0.0183950656935,207007
65,11,208,29.450680122,21105
65,52,110,0.683649376501,59477
65,137,425,0.0268945390909,186846
66,125,271,0.123789759413,153149
66,148,591,0.0864719795791,11224
67,39,302,0.00140707940999,919632
67,101,208,0.0317162723742,1193773
68,30,21,4.76265070904,161817
68,67,127,0.0016424245428,2548923
68,80,305,0.0206358483461,1332696
68,81,103,0.00442427432545,1982841
69,5,54,0.0446233776819,347627
69,11,86,0.0109277495709,754981
69,29,149,0.135664478867,166167
70,5,33,338.729249938,224822
70,27,36,0.00484780311262,369184
70,89,35,1.39695457502,675273
70,119,41,0.260630271468,195597
70,137,37,0.161826748813,1416314
70,147,43,0.0676033839973,353781
71,13,17,0.0811439557389,199821
71,25,14,3.90523062418,62663
71,8,21,0.0821386137453,203722
71,36,15,0.0988383805512,209742
71,27,24,0.098693257872,839751
71,20,14,0.13656963613,84404
71,40,14,0.0328730788288,309337
71,41,21,0.0481226221887,312319
71,90,21,0.54768729337,174388
71,91,22,0.35337817539,16623
71,75,13,2.1508265367,80554
71,92,19,0.0272542011561,667305
71,93,21,0.121935669409,340628
71,101,18,0.157700787219,55461
71,113,16,0.0462019163304,299750
71,97,25,2.70649645644,40755
71,147,12,0.0211800231515,189396
71,139,17,0.0734948511619,296057
