S Level,PW Level,Inliers,Homography Det,SVD
31,39,260,1.077313359,124
37,39,708,0.954140406,13
39,39,2785,1,1
41,39,498,1.529431588,533
43,39,392,1.452822475,240
45,39,246,1.396140514,397
49,39,151,2.074299068,973
51,39,149,2.201120454,1395
59,39,94,35.97193975,18185
16,40,67,0.822107022,16
31,40,38,1.576297397,59652
36,40,50,22.51686932,12138
38,40,112,1.134807158,91
40,40,1702,1,1
42,40,135,1.509184805,372
46,40,73,2.55557085,1080
48,40,80,1.457932254,259
49,40,44,368.5612556,19953
50,40,89,1.238627772,56
54,40,90,3.219245461,1709
58,40,73,1.074789362,54
62,40,72,1.587426142,30
64,40,58,1.184559685,30
68,40,47,1.388764559,18
72,40,57,1.725960504,1143
38,41,79,5.349815536,11383
41,41,2601,1,1
43,41,435,1.15960233,42
45,41,256,1.647346788,784
49,41,158,3.295630465,5757
55,41,122,2.059865815,5906
24,42,52,1.978937348,396
42,42,1201,1,1
52,42,34,1.801556806,745
60,42,49,1.983768521,859
17,43,142,1.903214902,661
21,43,125,1.671451472,701
25,43,100,1.148855581,1132
37,43,249,0.874643421,21
43,43,2921,1,1
49,43,227,1.141909203,677
51,43,216,1.661357941,1307
59,43,119,4.87619748,8146
67,43,51,5.154602328,124085
18,44,24,7.707127254,6399
20,44,30,12.21616044,4629
21,44,28,1.231961399,72851
23,44,22,0.851871142,41720
40,44,46,1.129435071,143
44,44,769,1,1
46,44,63,1.511216811,374
48,44,53,1.390231725,163
52,44,37,1.511471856,1078
54,44,50,1.559464483,1392
70,44,32,1.461927503,996
19,45,124,31.33041152,15285
23,45,131,2.264780186,1860
31,45,122,1.178286099,148
43,45,676,1.174219061,25
45,45,2935,1,1
49,45,319,1.567612208,955
51,45,283,1.562009235,969
55,45,142,2.268255633,3907
57,45,114,2.46258183,5072
59,45,164,6.992220966,10667
61,45,85,2.399884205,1414
67,45,66,716.8368474,23546
36,46,96,2.575739682,1033
38,46,60,1.169149998,666
42,46,112,1.69511601,810
46,46,1355,1,1
48,46,184,1.325786951,382
54,46,78,1.118982267,88
59,46,59,24.17129594,19027
62,46,90,2.231002873,927
63,46,47,0.815050497,124918
66,46,91,1.529236833,226
70,46,56,11.9813904,6339
15,47,102,1.61509012,1413
23,47,76,0.695800447,323
31,47,101,1.564119975,433
33,47,107,3.467478033,1638
35,47,104,1.171546475,1765
37,47,111,2.861558098,1713
38,47,59,647.2442744,8311
47,47,3158,1,1
49,47,428,1.173954272,108
51,47,202,1.344594995,10
55,47,150,2.085774616,931
59,47,118,62.44442487,17289
48,48,1141,1,1
50,48,76,0.983164661,126
58,48,78,1.158946247,13
62,48,88,1.028323834,192
49,49,3910,1,1
51,49,747,1.122982106,99
53,49,454,1.503913166,230
55,49,210,3.556114351,3029
57,49,239,1.729482582,756
60,49,62,3.686366067,23231
61,49,114,3.164514302,1971
63,49,101,4.593409622,16686
71,49,79,6.798235756,14506
16,50,57,2.835997451,1323
24,50,52,4.900601338,3427
34,50,52,1.567749936,475
42,50,57,1.479450704,428
48,50,83,1.170383483,112
50,50,897,1,1
56,50,93,12.08223939,10444
60,50,51,1.486790307,278
64,50,60,1.415872944,6
68,50,54,4.653550142,2666
70,50,50,3.996358077,649
72,50,53,2.743650447,27295
17,51,95,8.768144371,8925
23,51,77,1.407481096,573
49,51,642,0.877832509,124
51,51,3238,1,1
53,51,819,1.194716834,224
55,51,323,1.695512651,1148
66,51,44,2.088454436,2071
67,51,74,2.646592675,1793
26,52,39,1.344712172,1340
36,52,46,45.48864982,4549
38,52,44,2.78505866,2128
42,52,26,69.40019593,6394
46,52,54,1.210829186,79
48,52,78,1.064941838,26
52,52,907,1,1
68,52,66,1.198822757,1094
53,53,3356,1,1
55,53,708,1.27113379,162
57,53,469,1.679116013,1121
61,53,196,3.492375361,4808
73,53,71,20.01424396,13621
18,54,29,0.938507956,25
20,54,39,1.724133598,60
46,54,57,1.34725057,85
